route_uid,route_id,official_stop_count,routable_stop_count,failed_stop_count,route_coverage,geometry_coverage,failure_reason,recoverable,final_status
100000020,청와대A01,6,5,0,1.0,PASS,,YES,PASS
100000024,새벽A160,87,86,0,1.0,PASS,,YES,PASS
100000025,동대문A01,23,22,0,1.0,PASS,,YES,PASS
100000026,청계A01,12,11,0,1.0,PASS,,YES,PASS
100000027,서대문A01,14,13,0,1.0,PASS,,YES,PASS
100000028,새벽A741,34,33,0,1.0,PASS,,YES,PASS
100100001,01A,25,23,1,0.958333,FAIL,no connected car route from the candidate graph nodes,NO,FAIL
100100006,101,81,80,0,1.0,PASS,,YES,PASS
100100007,102,67,66,0,1.0,PASS,,YES,PASS
100100008,103,70,69,0,1.0,PASS,,YES,PASS
100100009,104,65,64,0,1.0,PASS,,YES,PASS
100100010,105,86,85,0,1.0,PASS,,YES,PASS
100100012,107,120,119,0,1.0,PASS,,YES,PASS
100100014,109,64,63,0,1.0,PASS,,YES,PASS
100100015,110B국민대,91,90,0,1.0,PASS,,YES,PASS
100100016,110A고려대,88,87,0,1.0,PASS,,YES,PASS
100100017,120,90,89,0,1.0,PASS,,YES,PASS
100100018,130,87,86,0,1.0,PASS,,YES,PASS
100100019,140,87,86,0,1.0,PASS,,YES,PASS
100100020,141,105,104,0,1.0,PASS,,YES,PASS
100100021,142,106,105,0,1.0,PASS,,YES,PASS
100100022,143,113,112,0,1.0,PASS,,YES,PASS
100100023,144,99,98,0,1.0,PASS,,YES,PASS
100100024,145,103,102,0,1.0,PASS,,YES,PASS
100100025,146,135,134,0,1.0,PASS,,YES,PASS
100100026,147,115,114,0,1.0,PASS,,YES,PASS
100100027,148,84,83,0,1.0,PASS,,YES,PASS
100100029,150,123,122,0,1.0,PASS,,YES,PASS
100100030,151,95,94,0,1.0,PASS,,YES,PASS
100100031,152,131,130,0,1.0,PASS,,YES,PASS
100100032,163,112,111,0,1.0,PASS,,YES,PASS
100100033,160,120,119,0,1.0,PASS,,YES,PASS
100100034,162,77,76,0,1.0,PASS,,YES,PASS
100100036,171,84,83,0,1.0,PASS,,YES,PASS
100100037,172,108,107,0,1.0,PASS,,YES,PASS
100100038,201,116,115,0,1.0,PASS,,YES,PASS
100100039,202,131,130,0,1.0,PASS,,YES,PASS
100100042,260,97,96,0,1.0,PASS,,YES,PASS
100100043,261,120,119,0,1.0,PASS,,YES,PASS
100100044,262,136,135,0,1.0,PASS,,YES,PASS
100100046,270,98,97,0,1.0,PASS,,YES,PASS
100100047,271,123,122,0,1.0,PASS,,YES,PASS
100100048,272,94,93,0,1.0,PASS,,YES,PASS
100100049,273,112,111,0,1.0,PASS,,YES,PASS
100100051,301,100,99,0,1.0,PASS,,YES,PASS
100100052,302,126,125,0,1.0,PASS,,YES,PASS
100100053,303,106,105,0,1.0,PASS,,YES,PASS
100100055,340,106,105,0,1.0,PASS,,YES,PASS
100100056,341,93,92,0,1.0,PASS,,YES,PASS
100100057,360,91,90,0,1.0,PASS,,YES,PASS
100100061,370,94,93,0,1.0,PASS,,YES,PASS
100100062,401,99,98,0,1.0,PASS,,YES,PASS
100100063,402,110,109,0,1.0,PASS,,YES,PASS
100100064,406,68,67,0,1.0,PASS,,YES,PASS
100100068,420,88,87,0,1.0,PASS,,YES,PASS
100100070,441,127,126,0,1.0,PASS,,YES,PASS
100100071,461,139,138,0,1.0,PASS,,YES,PASS
100100073,470,85,84,0,1.0,PASS,,YES,PASS
100100075,472,75,74,0,1.0,PASS,,YES,PASS
100100076,500,84,83,0,1.0,PASS,,YES,PASS
100100077,501,56,55,0,1.0,PASS,,YES,PASS
100100078,503,89,88,0,1.0,PASS,,YES,PASS
100100079,504,97,96,0,1.0,PASS,,YES,PASS
100100080,505,97,96,0,1.0,PASS,,YES,PASS
100100081,506,100,99,0,1.0,PASS,,YES,PASS
100100082,507,105,104,0,1.0,PASS,,YES,PASS
100100083,540,94,93,0,1.0,PASS,,YES,PASS
100100084,571,121,120,0,1.0,PASS,,YES,PASS
100100085,600,71,70,0,1.0,PASS,,YES,PASS
100100086,601,77,76,0,1.0,PASS,,YES,PASS
100100087,602,87,86,0,1.0,PASS,,YES,PASS
100100088,603,82,81,0,1.0,PASS,,YES,PASS
100100089,604,89,88,0,1.0,PASS,,YES,PASS
100100090,605,105,104,0,1.0,PASS,,YES,PASS
100100091,606,125,124,0,1.0,PASS,,YES,PASS
100100093,640,79,78,0,1.0,PASS,,YES,PASS
100100094,641,98,97,0,1.0,PASS,,YES,PASS
100100096,643,86,85,0,1.0,PASS,,YES,PASS
100100097,650,97,96,0,1.0,PASS,,YES,PASS
100100098,651,99,98,0,1.0,PASS,,YES,PASS
100100099,652,117,116,0,1.0,PASS,,YES,PASS
100100102,661,126,125,0,1.0,PASS,,YES,PASS
100100103,701,73,72,0,1.0,PASS,,YES,PASS
100100104,702A,79,78,0,1.0,PASS,,YES,PASS
100100105,702B,80,79,0,1.0,PASS,,YES,PASS
100100107,704,77,76,0,1.0,PASS,,YES,PASS
100100110,710,75,74,0,1.0,PASS,,YES,PASS
100100111,720,111,110,0,1.0,PASS,,YES,PASS
100100112,721,90,89,0,1.0,PASS,,YES,PASS
100100114,750A,83,82,0,1.0,PASS,,YES,PASS
100100116,742,132,131,0,1.0,PASS,,YES,PASS
100100117,752,103,102,0,1.0,PASS,,YES,PASS
100100118,753,104,103,0,1.0,PASS,,YES,PASS
100100124,0017,40,39,0,1.0,PASS,,YES,PASS
100100129,1014,37,36,0,1.0,PASS,,YES,PASS
100100130,1017,70,69,0,1.0,PASS,,YES,PASS
100100131,1020,54,53,0,1.0,PASS,,YES,PASS
100100132,1111,77,76,0,1.0,PASS,,YES,PASS
100100133,1113,34,33,0,1.0,PASS,,YES,PASS
100100134,1114,25,24,0,1.0,PASS,,YES,PASS
100100137,1119,65,64,0,1.0,PASS,,YES,PASS
100100138,1120,85,84,0,1.0,PASS,,YES,PASS
100100139,1124,37,36,0,1.0,PASS,,YES,PASS
100100142,1126,66,65,0,1.0,PASS,,YES,PASS
100100143,1127,60,59,0,1.0,PASS,,YES,PASS
100100144,1128,81,80,0,1.0,PASS,,YES,PASS
100100145,1129,22,21,0,1.0,PASS,,YES,PASS
100100146,1130,27,26,0,1.0,PASS,,YES,PASS
100100147,1131,57,56,0,1.0,PASS,,YES,PASS
100100148,1132,65,64,0,1.0,PASS,,YES,PASS
100100149,1133,48,47,0,1.0,PASS,,YES,PASS
100100150,1135,59,58,0,1.0,PASS,,YES,PASS
100100151,1136,39,38,0,1.0,PASS,,YES,PASS
100100152,1137,78,77,0,1.0,PASS,,YES,PASS
100100153,1138,52,51,0,1.0,PASS,,YES,PASS
100100154,1139,72,71,0,1.0,PASS,,YES,PASS
100100155,1140,49,48,0,1.0,PASS,,YES,PASS
100100156,1141,54,53,0,1.0,PASS,,YES,PASS
100100157,1142,30,29,0,1.0,PASS,,YES,PASS
100100158,1143,70,69,0,1.0,PASS,,YES,PASS
100100159,1144,61,60,0,1.0,PASS,,YES,PASS
100100164,1154,57,56,0,1.0,PASS,,YES,PASS
100100166,2212,88,87,0,1.0,PASS,,YES,PASS
100100170,1162,38,37,0,1.0,PASS,,YES,PASS
100100171,1164,29,28,0,1.0,PASS,,YES,PASS
100100172,1165,66,65,0,1.0,PASS,,YES,PASS
100100175,1213,68,67,0,1.0,PASS,,YES,PASS
100100177,1218,85,84,0,1.0,PASS,,YES,PASS
100100178,1221,45,44,0,1.0,PASS,,YES,PASS
100100179,1222,57,56,0,1.0,PASS,,YES,PASS
100100181,1224,88,87,0,1.0,PASS,,YES,PASS
100100183,1226,23,22,0,1.0,PASS,,YES,PASS
100100184,1227,67,66,0,1.0,PASS,,YES,PASS
100100185,1711,64,63,0,1.0,PASS,,YES,PASS
100100186,2012,113,112,0,1.0,PASS,,YES,PASS
100100188,2013,62,61,0,1.0,PASS,,YES,PASS
100100189,2014,67,66,0,1.0,PASS,,YES,PASS
100100190,2015,83,82,0,1.0,PASS,,YES,PASS
100100191,2112,112,111,0,1.0,PASS,,YES,PASS
100100192,2113,68,67,0,1.0,PASS,,YES,PASS
100100193,2114,79,78,0,1.0,PASS,,YES,PASS
100100194,2211,51,50,0,1.0,PASS,,YES,PASS
100100198,2221,61,60,0,1.0,PASS,,YES,PASS
100100199,2222,62,61,0,1.0,PASS,,YES,PASS
100100201,2224,55,54,0,1.0,PASS,,YES,PASS
100100202,2227,108,107,0,1.0,PASS,,YES,PASS
100100203,2230,92,91,0,1.0,PASS,,YES,PASS
100100204,2233,120,119,0,1.0,PASS,,YES,PASS
100100209,2412,76,75,0,1.0,PASS,,YES,PASS
100100210,2413,69,68,0,1.0,PASS,,YES,PASS
100100211,2415,52,51,0,1.0,PASS,,YES,PASS
100100212,3212,67,66,0,1.0,PASS,,YES,PASS
100100213,3214,57,56,0,1.0,PASS,,YES,PASS
100100215,3216,91,90,0,1.0,PASS,,YES,PASS
100100216,3217,83,82,0,1.0,PASS,,YES,PASS
100100218,3220,91,90,0,1.0,PASS,,YES,PASS
100100219,3313,42,41,0,1.0,PASS,,YES,PASS
100100220,3314,69,68,0,1.0,PASS,,YES,PASS
100100221,3315,75,74,0,1.0,PASS,,YES,PASS
100100222,3316,42,41,0,1.0,PASS,,YES,PASS
100100223,3411,90,89,0,1.0,PASS,,YES,PASS
100100224,3412,117,116,0,1.0,PASS,,YES,PASS
100100225,3413,101,100,0,1.0,PASS,,YES,PASS
100100226,3414,89,88,0,1.0,PASS,,YES,PASS
100100228,3416,65,64,0,1.0,PASS,,YES,PASS
100100229,3417,60,59,0,1.0,PASS,,YES,PASS
100100232,3422,92,91,0,1.0,PASS,,YES,PASS
100100234,4212,72,71,0,1.0,PASS,,YES,PASS
100100237,4318,108,107,0,1.0,PASS,,YES,PASS
100100246,4432,58,57,0,1.0,PASS,,YES,PASS
100100247,4433,34,33,0,1.0,PASS,,YES,PASS
100100248,5012,103,102,0,1.0,PASS,,YES,PASS
100100249,5413,86,85,0,1.0,PASS,,YES,PASS
100100250,5511,73,72,0,1.0,PASS,,YES,PASS
100100251,5513,44,43,0,1.0,PASS,,YES,PASS
100100252,5515,32,31,0,1.0,PASS,,YES,PASS
100100253,5516,71,70,0,1.0,PASS,,YES,PASS
100100254,5517,90,89,0,1.0,PASS,,YES,PASS
100100255,5519,30,29,0,1.0,PASS,,YES,PASS
100100257,5522A난곡,59,58,0,1.0,PASS,,YES,PASS
100100258,5522B호암,54,53,0,1.0,PASS,,YES,PASS
100100259,5523,36,35,0,1.0,PASS,,YES,PASS
100100260,5524,94,93,0,1.0,PASS,,YES,PASS
100100261,5525,44,43,0,1.0,PASS,,YES,PASS
100100263,5528,82,81,0,1.0,PASS,,YES,PASS
100100264,5530,115,114,0,1.0,PASS,,YES,PASS
100100265,5531,110,109,0,1.0,PASS,,YES,PASS
100100266,5634,56,55,0,1.0,PASS,,YES,PASS
100100267,5535,82,81,0,1.0,PASS,,YES,PASS
100100268,5536,65,64,0,1.0,PASS,,YES,PASS
100100269,5537,28,27,0,1.0,PASS,,YES,PASS
100100272,5615,64,63,0,1.0,PASS,,YES,PASS
100100273,5616,116,115,0,1.0,PASS,,YES,PASS
100100274,5617,18,17,0,1.0,PASS,,YES,PASS
100100275,5618,68,67,0,1.0,PASS,,YES,PASS
100100276,5619,54,53,0,1.0,PASS,,YES,PASS
100100277,5620,68,67,0,1.0,PASS,,YES,PASS
100100278,5621,18,17,0,1.0,PASS,,YES,PASS
100100279,5623,120,119,0,1.0,PASS,,YES,PASS
100100281,5625,78,77,0,1.0,PASS,,YES,PASS
100100282,5626,106,105,0,1.0,PASS,,YES,PASS
100100283,5627,67,66,0,1.0,PASS,,YES,PASS
100100284,5630,71,70,0,1.0,PASS,,YES,PASS
100100285,5633,112,111,0,1.0,PASS,,YES,PASS
100100286,5712,92,91,0,1.0,PASS,,YES,PASS
100100287,5713,92,91,0,1.0,PASS,,YES,PASS
100100288,5714,95,94,0,1.0,PASS,,YES,PASS
100100289,6211,110,109,0,1.0,PASS,,YES,PASS
100100290,6411,117,116,0,1.0,PASS,,YES,PASS
100100291,6511,89,88,0,1.0,PASS,,YES,PASS
100100292,6512,81,80,0,1.0,PASS,,YES,PASS
100100293,6713,73,72,0,1.0,PASS,,YES,PASS
100100294,6514,107,106,0,1.0,PASS,,YES,PASS
100100295,5611,38,37,0,1.0,PASS,,YES,PASS
100100297,6614,91,90,0,1.0,PASS,,YES,PASS
100100298,6616,80,79,0,1.0,PASS,,YES,PASS
100100299,6617,56,55,0,1.0,PASS,,YES,PASS
100100300,6620,61,60,0,1.0,PASS,,YES,PASS
100100301,6623,69,68,0,1.0,PASS,,YES,PASS
100100302,6624,70,69,0,1.0,PASS,,YES,PASS
100100303,6625,74,73,0,1.0,PASS,,YES,PASS
100100304,6627,71,70,0,1.0,PASS,,YES,PASS
100100305,6628,59,58,0,1.0,PASS,,YES,PASS
100100306,6629,95,94,0,1.0,PASS,,YES,PASS
100100307,6630,97,96,0,1.0,PASS,,YES,PASS
100100308,6631,92,91,0,1.0,PASS,,YES,PASS
100100309,6632,66,65,0,1.0,PASS,,YES,PASS
100100312,6637,79,78,0,1.0,PASS,,YES,PASS
100100313,6638,69,68,0,1.0,PASS,,YES,PASS
100100316,6642,74,73,0,1.0,PASS,,YES,PASS
100100318,6645,68,67,0,1.0,PASS,,YES,PASS
100100320,6647,54,53,0,1.0,PASS,,YES,PASS
100100329,6657,51,50,0,1.0,PASS,,YES,PASS
100100330,6712,86,85,0,1.0,PASS,,YES,PASS
100100331,6714,68,67,0,1.0,PASS,,YES,PASS
100100332,6715,61,60,0,1.0,PASS,,YES,PASS
100100337,7017,91,90,0,1.0,PASS,,YES,PASS
100100338,7018,56,55,0,1.0,PASS,,YES,PASS
100100339,7019,89,88,0,1.0,PASS,,YES,PASS
100100340,7021,75,74,0,1.0,PASS,,YES,PASS
100100341,7022,72,71,0,1.0,PASS,,YES,PASS
100100342,7024,31,30,0,1.0,PASS,,YES,PASS
100100344,7211,109,108,0,1.0,PASS,,YES,PASS
100100345,7611,80,79,0,1.0,PASS,,YES,PASS
100100346,7612,47,46,0,1.0,PASS,,YES,PASS
100100347,7613,88,87,0,1.0,PASS,,YES,PASS
100100348,7711,41,40,0,1.0,PASS,,YES,PASS
100100349,7713,68,67,0,1.0,PASS,,YES,PASS
100100352,7720,76,75,0,1.0,PASS,,YES,PASS
100100353,7722,49,48,0,1.0,PASS,,YES,PASS
100100354,7723,40,39,0,1.0,PASS,,YES,PASS
100100357,7726,66,65,0,1.0,PASS,,YES,PASS
100100358,7727,104,103,0,1.0,PASS,,YES,PASS
100100359,7728,108,107,0,1.0,PASS,,YES,PASS
100100360,7730,74,73,0,1.0,PASS,,YES,PASS
100100363,7737,64,63,0,1.0,PASS,,YES,PASS
100100364,7738,54,53,0,1.0,PASS,,YES,PASS
100100373,6101,25,24,0,1.0,PASS,,YES,PASS
100100383,8541,56,55,0,1.0,PASS,,YES,PASS
100100387,8774,59,58,0,1.0,PASS,,YES,PASS
100100389,9401,61,60,0,1.0,PASS,,YES,PASS
100100391,9404,60,59,0,1.0,PASS,,YES,PASS
100100392,9408,123,122,0,1.0,PASS,,YES,PASS
100100400,9707,78,77,0,1.0,PASS,,YES,PASS
100100407,240,122,121,0,1.0,PASS,,YES,PASS
