trip_id,segment_id,scenario_type,corridor_id,route_source,classification,road_network_data,live_routing_at_generation,origin_destination_arbitrary,status_reason
trip_000201,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000202,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000203,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000204,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000205,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000206,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000207,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000208,1,car,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000209,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000210,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000211,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000212,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000213,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000214,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000215,1,car,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000216,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000217,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000218,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000219,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000220,1,car,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000221,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000222,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000223,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000224,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000225,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000226,1,car,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000227,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000228,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000229,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000230,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000231,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000232,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000233,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000234,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000235,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000236,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000237,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000238,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000239,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
