check,status,detail
required_package_artifacts,PASS,
700_gps_files,PASS,700
700_ground_truth_files,PASS,700
frozen_status,PASS,
package_hash_integrity,PASS,actual=2110 recorded=2110
external_reference_hash_integrity,PASS,
no_api_key_reference,PASS,
independent_module_no_generator_validator_import,PASS,
production_source_independence,PASS,
trip_000001_gps_schema,PASS,
trip_000001_gps_time_sequence,PASS,
trip_000001_gps_trip_id,PASS,
trip_000001_origin_destination,PASS,
trip_000001_timeline,PASS,
trip_000001_walk_network_reference,PASS,
trip_000001_transfer_recomputed,PASS,
trip_000002_gps_schema,PASS,
trip_000002_gps_time_sequence,PASS,
trip_000002_gps_trip_id,PASS,
trip_000002_origin_destination,PASS,
trip_000002_timeline,PASS,
trip_000002_walk_network_reference,PASS,
trip_000002_transfer_recomputed,PASS,
trip_000003_gps_schema,PASS,
trip_000003_gps_time_sequence,PASS,
trip_000003_gps_trip_id,PASS,
trip_000003_origin_destination,PASS,
trip_000003_timeline,PASS,
trip_000003_walk_network_reference,PASS,
trip_000003_transfer_recomputed,PASS,
trip_000004_gps_schema,PASS,
trip_000004_gps_time_sequence,PASS,
trip_000004_gps_trip_id,PASS,
trip_000004_origin_destination,PASS,
trip_000004_timeline,PASS,
trip_000004_walk_network_reference,PASS,
trip_000004_transfer_recomputed,PASS,
trip_000005_gps_schema,PASS,
trip_000005_gps_time_sequence,PASS,
trip_000005_gps_trip_id,PASS,
trip_000005_origin_destination,PASS,
trip_000005_timeline,PASS,
trip_000005_walk_network_reference,PASS,
trip_000005_transfer_recomputed,PASS,
trip_000006_gps_schema,PASS,
trip_000006_gps_time_sequence,PASS,
trip_000006_gps_trip_id,PASS,
trip_000006_origin_destination,PASS,
trip_000006_timeline,PASS,
trip_000006_walk_network_reference,PASS,
trip_000006_transfer_recomputed,PASS,
trip_000007_gps_schema,PASS,
trip_000007_gps_time_sequence,PASS,
trip_000007_gps_trip_id,PASS,
trip_000007_origin_destination,PASS,
trip_000007_timeline,PASS,
trip_000007_walk_network_reference,PASS,
trip_000007_transfer_recomputed,PASS,
trip_000008_gps_schema,PASS,
trip_000008_gps_time_sequence,PASS,
trip_000008_gps_trip_id,PASS,
trip_000008_origin_destination,PASS,
trip_000008_timeline,PASS,
trip_000008_walk_network_reference,PASS,
trip_000008_transfer_recomputed,PASS,
trip_000009_gps_schema,PASS,
trip_000009_gps_time_sequence,PASS,
trip_000009_gps_trip_id,PASS,
trip_000009_origin_destination,PASS,
trip_000009_timeline,PASS,
trip_000009_walk_network_reference,PASS,
trip_000009_transfer_recomputed,PASS,
trip_000010_gps_schema,PASS,
trip_000010_gps_time_sequence,PASS,
trip_000010_gps_trip_id,PASS,
trip_000010_origin_destination,PASS,
trip_000010_timeline,PASS,
trip_000010_walk_network_reference,PASS,
trip_000010_transfer_recomputed,PASS,
trip_000011_gps_schema,PASS,
trip_000011_gps_time_sequence,PASS,
trip_000011_gps_trip_id,PASS,
trip_000011_origin_destination,PASS,
trip_000011_timeline,PASS,
trip_000011_walk_network_reference,PASS,
trip_000011_transfer_recomputed,PASS,
trip_000012_gps_schema,PASS,
trip_000012_gps_time_sequence,PASS,
trip_000012_gps_trip_id,PASS,
trip_000012_origin_destination,PASS,
trip_000012_timeline,PASS,
trip_000012_walk_network_reference,PASS,
trip_000012_transfer_recomputed,PASS,
trip_000013_gps_schema,PASS,
trip_000013_gps_time_sequence,PASS,
trip_000013_gps_trip_id,PASS,
trip_000013_origin_destination,PASS,
trip_000013_timeline,PASS,
trip_000013_walk_network_reference,PASS,
trip_000013_transfer_recomputed,PASS,
trip_000014_gps_schema,PASS,
trip_000014_gps_time_sequence,PASS,
trip_000014_gps_trip_id,PASS,
trip_000014_origin_destination,PASS,
trip_000014_timeline,PASS,
trip_000014_walk_network_reference,PASS,
trip_000014_transfer_recomputed,PASS,
trip_000015_gps_schema,PASS,
trip_000015_gps_time_sequence,PASS,
trip_000015_gps_trip_id,PASS,
trip_000015_origin_destination,PASS,
trip_000015_timeline,PASS,
trip_000015_walk_network_reference,PASS,
trip_000015_transfer_recomputed,PASS,
trip_000016_gps_schema,PASS,
trip_000016_gps_time_sequence,PASS,
trip_000016_gps_trip_id,PASS,
trip_000016_origin_destination,PASS,
trip_000016_timeline,PASS,
trip_000016_walk_network_reference,PASS,
trip_000016_transfer_recomputed,PASS,
trip_000017_gps_schema,PASS,
trip_000017_gps_time_sequence,PASS,
trip_000017_gps_trip_id,PASS,
trip_000017_origin_destination,PASS,
trip_000017_timeline,PASS,
trip_000017_walk_network_reference,PASS,
trip_000017_transfer_recomputed,PASS,
trip_000018_gps_schema,PASS,
trip_000018_gps_time_sequence,PASS,
trip_000018_gps_trip_id,PASS,
trip_000018_origin_destination,PASS,
trip_000018_timeline,PASS,
trip_000018_walk_network_reference,PASS,
trip_000018_transfer_recomputed,PASS,
trip_000019_gps_schema,PASS,
trip_000019_gps_time_sequence,PASS,
trip_000019_gps_trip_id,PASS,
trip_000019_origin_destination,PASS,
trip_000019_timeline,PASS,
trip_000019_walk_network_reference,PASS,
trip_000019_transfer_recomputed,PASS,
